City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,akhty,41.4597,47.7312,21.03,86,65,2.34,RU,1723037224
370,fort mcmurray,56.7268,-111.381,9.77,76,0,4.12,CA,1723037225
371,merizo village,13.2658,144.6691,27.77,72,100,3.85,GU,1723037226
372,xilin hot,43.9667,116.0333,21.68,46,0,2.21,CN,1723037227
373,melfort,52.8667,-104.6177,8.07,81,0,2.06,CA,1723037228
374,tangalle,6.024,80.7911,31.09,75,32,6.96,LK,1723037229
375,zolochiv,49.806,24.8944,25.14,47,79,2.52,UA,1723037231
376,flying fish cove,-10.4217,105.6791,24.82,83,75,5.14,CX,1723037232
377,ivins,37.1686,-113.6794,28.91,37,100,0.89,US,1723037233
378,longquan,24.6719,102.1613,20.19,88,11,1.85,CN,1723037234
379,halifax,44.6453,-63.5724,17.27,96,100,2.06,CA,1723036982
380,inda silase,14.1031,38.2829,19.0,80,100,1.81,ET,1723037236
381,fort bragg,35.139,-79.006,25.91,93,100,4.12,US,1723037237
382,khandyga,62.6667,135.6,11.85,91,100,0.5,RU,1723037239
383,staraya russa,57.9944,31.3608,22.5,52,41,3.4,RU,1723037242
384,penzance,50.1186,-5.5371,17.62,82,75,5.66,GB,1723037243
385,ed damer,17.5928,33.9592,30.49,54,100,6.65,SD,1723037245
386,thames,-37.1333,175.5333,6.93,93,24,1.31,NZ,1723037246
387,bonthe,7.5264,-12.505,27.08,73,96,4.64,SL,1723037247
388,aljezur,37.3191,-8.8033,23.67,67,8,6.73,PT,1723037248
389,dongola,19.1667,30.4833,37.71,32,99,4.57,SD,1723037249
390,balabac,7.9868,117.0645,27.53,78,100,1.72,PH,1723037250
391,mamedkala,42.1677,48.1199,28.77,50,26,5.65,RU,1723037252
392,dapa,9.7594,126.0531,28.85,78,100,5.46,PH,1723037253
393,sliven,42.6858,26.3292,31.2,27,0,3.5,BG,1723037254
394,kovdor,67.5662,30.4758,22.46,26,9,1.86,RU,1723037255
395,taltal,-25.4,-70.4833,14.51,67,4,1.71,CL,1723036820
396,broome,42.2506,-75.833,18.45,85,100,4.12,US,1723037257
397,port saint john's,-31.6229,29.5448,24.29,51,0,4.36,ZA,1723037258
398,minas de marcona,-15.2119,-75.1103,10.21,91,87,8.0,PE,1723037259
399,sao pedro,-22.5486,-47.9139,25.82,63,4,6.16,BR,1723037260
400,kiunga,-6.1219,141.2906,23.59,93,100,1.68,PG,1723037261
401,bodaybo,57.8506,114.1933,19.36,68,7,1.5,RU,1723037263
402,quellon,-43.1167,-73.6167,5.07,91,35,1.6,CL,1723037264
403,tanumah,27.1,44.1333,41.45,6,48,6.75,SA,1723037115
404,majene,-3.5403,118.9707,25.57,82,53,5.94,ID,1723037267
405,biloela,-24.4167,150.5,14.18,91,28,2.5,AU,1723037268
406,kyren,51.6828,102.1408,15.94,86,22,0.28,RU,1723037269
407,spring creek,40.7266,-115.5859,16.83,15,0,1.26,US,1723037270
408,taulaga,-11.0553,-171.0883,27.18,74,53,8.38,AS,1723037272
409,guayaramerin,-10.8368,-65.3614,27.03,78,75,1.54,BO,1723037273
410,kalmunai,7.4167,81.8167,28.95,76,35,3.85,LK,1723037274
411,jamsankoski,61.919,25.1701,22.27,40,40,1.42,FI,1723037275
412,sterling,39.0062,-77.4286,26.48,82,100,2.06,US,1723037079
413,biscarrosse,44.3945,-1.1672,25.97,57,0,3.09,FR,1723037277
414,lompoc,34.6391,-120.4579,15.08,100,100,0.0,US,1723037278
415,el sauzal de rodriguez,31.9,-116.6833,19.12,79,51,0.4,MX,1723037279
416,ipameri,-17.7219,-48.1597,25.41,27,0,5.15,BR,1723037280
417,nemuro,43.3236,145.575,17.86,100,100,3.51,JP,1723037282
418,palpa,-14.5336,-75.1856,16.98,61,0,2.38,PE,1723037283
419,wynyard,-41.0,145.7167,10.66,96,100,0.8,AU,1723037284
420,ghadamis,30.1337,9.5007,38.2,17,0,1.06,LY,1723037285
421,sarina,-21.4333,149.2167,18.12,95,46,2.46,AU,1723037286
422,mora,11.0461,14.1401,29.61,59,100,5.7,CM,1723037287
423,marquette,46.5333,-87.6335,16.85,75,44,1.34,US,1723037288
424,yigo village,13.5361,144.8886,27.08,83,0,1.54,GU,1723037289
425,acapulco de juarez,16.8634,-99.8901,26.9,83,75,2.57,MX,1723037279
426,sant carles de la rapita,40.6167,0.6,32.43,57,0,3.86,ES,1723037292
427,iaciara,-14.0958,-46.6317,27.53,36,0,0.79,BR,1723037293
428,sidi ifni,29.3797,-10.173,31.86,70,39,4.57,MA,1723037294
429,willowmore,-33.2926,23.4895,20.38,17,100,7.22,ZA,1723037295
430,jiaozhou,36.2839,120.0033,28.98,90,100,1.04,CN,1723037296
431,satkhira,22.7167,89.1,28.21,82,54,5.63,BD,1723037298
432,bielsk podlaski,52.7651,23.1865,26.13,26,1,3.3,PL,1723037299
433,mek'ele,13.4967,39.4753,21.6,64,100,2.75,ET,1723037300
434,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,40,1.0,RU,1723037301
435,toliara,-23.35,43.6667,26.3,59,0,8.6,MG,1723037302
436,ustka,54.5805,16.8619,24.8,60,78,1.51,PL,1723037303
437,albu kamal,34.45,40.9186,42.53,10,0,6.49,SY,1723037304
438,venev,54.3553,38.2684,25.1,54,100,0.55,RU,1723037305
439,palikir - national government center,6.9248,158.1611,24.41,94,75,0.0,FM,1723037306
440,freetown,8.484,-13.2299,25.8,79,100,3.96,SL,1723037308
441,abatskoye,56.2875,70.4555,15.13,83,100,4.48,RU,1723037309
442,newman,37.3138,-121.0208,22.13,27,0,1.31,US,1723037310
443,sambava,-14.2667,50.1667,24.75,56,8,6.52,MG,1723037311
444,montrose,38.4166,-108.2673,13.74,65,99,1.4,US,1723037139
445,belle fourche,44.6714,-103.8522,21.66,67,86,2.74,US,1723037159
446,cannonvale,-20.2833,148.7,19.66,88,10,5.91,AU,1723037314
447,antofagasta,-23.65,-70.4,14.6,67,9,3.55,CL,1723037151
448,tucurui,-3.7661,-49.6725,32.6,42,0,1.2,BR,1723037316
449,gulf shores,30.246,-87.7008,29.63,69,0,2.57,US,1723037317
450,kayyerkan,69.3786,87.7439,13.18,53,4,10.53,RU,1723037318
451,qamdo,31.1667,97.2333,13.07,58,5,2.06,CN,1723037320
452,queenstown,-31.8976,26.8753,21.73,15,93,9.37,ZA,1723037321
453,zeribet el oued,34.6828,6.5111,38.93,20,0,3.26,DZ,1723037322
454,al qubbah,32.7616,22.2424,29.15,36,0,7.03,LY,1723037323
455,cojutepeque,13.7167,-88.9333,21.88,97,100,1.73,SV,1723037324
456,bogale,16.2833,95.4,24.92,94,100,2.46,MM,1723037325
457,saint-joseph,-21.3667,55.6167,22.21,66,2,3.61,RE,1723037326
458,puerto baquerizo moreno,-0.9,-89.6,19.75,79,86,5.71,EC,1723037327
459,vila velha,-20.3297,-40.2925,25.97,72,40,4.63,BR,1723037136
460,genoa,44.4129,8.9573,31.49,71,40,4.47,IT,1723037329
461,griffith,41.5284,-87.4237,21.96,83,0,6.69,US,1723037330
462,nuku'alofa,-21.1333,-175.2,20.19,77,20,4.12,TO,1723037331
463,ebon,4.582,168.6964,26.89,74,100,1.53,MH,1723037333
